net,length_um
net289,66.02µm
net163,65.97µm
_1612_,65.87µm
clknet_leaf_10_clk,65.74µm
clknet_leaf_47_clk,65.56µm
net343,65.5µm
lsu.current_load_addr\[16\],65.48µm
net296,65.02µm
acc.byte0\[7\],64.98µm
_1542_,64.74µm
_1376_,64.6µm
_1777_,64.52µm
net329,64.34µm
net341,64.3µm
acc.data_out\[4\],64.24µm
net337,64.1µm
clknet_leaf_51_clk,64.08µm
clknet_leaf_86_clk,64µm
clknet_leaf_59_clk,63.94µm
clknet_leaf_42_clk,63.84µm
clknet_leaf_15_clk,63.58µm
net265,62.875µm
_1472_,62.72µm
net339,62.41µm
_1174_,62.4µm
_1591_,62.38µm
clknet_leaf_79_clk,62.38µm
lsu.load_fifo.data_in\[7\],62.22µm
lsu.load_fifo.data_in\[18\],61.96µm
_1854_,61.78µm
clknet_leaf_55_clk,61.14µm
lsu.load_fifo.data_in\[19\],60.93µm
lsu.load_fifo.w_en,60.8µm
net349,60.79µm
_1173_,60.58µm
net345,60.52µm
lsu.load_fifo.data_in\[26\],60.46µm
net325,60.26µm
_1620_,60.17µm
lsu.store_counter\[19\],60.04µm
lsu.load_fifo.data_in\[0\],59.58µm
net307,59.36µm
lsu.load_fifo.w_ptr\[1\],59.12µm
_1126_,59.04µm
clknet_leaf_76_clk,59.02µm
net102,58.48µm
_1561_,58.275µm
clknet_leaf_0_clk,58.12µm
_1538_,57.76µm
net301,57.74µm
clknet_leaf_18_clk,57.66µm
_1468_,57.34µm
_1448_,57.3µm
_1635_,57.3µm
_1587_,57.175µm
net333,57.02µm
net166,56.68µm
_1601_,56.535µm
clknet_leaf_16_clk,56.32µm
_1452_,56.3µm
net478,56.275µm
acc.byte0\[0\],56.08µm
_1716_,55.96µm
_1516_,55.84µm
net470,55.745µm
lsu.current_store_addr\[15\],55.74µm
acc.data_out\[3\],55.7µm
clknet_leaf_66_clk,55.46µm
clknet_leaf_40_clk,55.35µm
_1299_,55.34µm
_1928_,55.26µm
net303,54.9µm
lsu.load_counter\[14\],54.64µm
_1345_,54.2µm
net321,54.18µm
