net,length_um
lsu.store_fifo.queue\[15\]\[0\],12.34µm
lsu.store_fifo.queue\[3\]\[0\],12.34µm
_0592_,12.335µm
store_addr[16],12.33µm
lsu.store_fifo.queue\[8\]\[0\],12.32µm
store_addr[12],12.31µm
_1405_,12.3µm
_1567_,12.3µm
_1749_,12.3µm
_1895_,12.3µm
_1983_,12.3µm
lsu.store_fifo.queue\[12\]\[8\],12.3µm
_0275_,12.285µm
net85,12.28µm
net138,12.28µm
_0605_,12.265µm
_1400_,12.26µm
_1786_,12.26µm
_1918_,12.26µm
_1449_,12.24µm
lsu.load_fifo.queue\[8\]\[25\],12.24µm
_0072_,12.23µm
_1575_,12.22µm
_1623_,12.22µm
net807,12.22µm
_0322_,12.205µm
_0456_,12.205µm
_0699_,12.205µm
_1431_,12.2µm
_1451_,12.2µm
lsu.load_fifo.queue\[5\]\[15\],12.2µm
lsu.load_fifo.queue\[7\]\[4\],12.2µm
lsu.load_fifo.queue\[10\]\[10\],12.19µm
lsu.load_fifo.queue\[2\]\[5\],12.19µm
lsu.store_fifo.queue\[14\]\[6\],12.19µm
acc.byte2\[5\],12.18µm
lsu.load_fifo.queue\[14\]\[22\],12.18µm
store_data[2],12.17µm
_1836_,12.16µm
lsu.store_fifo.queue\[15\]\[1\],12.16µm
_1286_,12.14µm
lsu.load_fifo.queue\[4\]\[7\],12.14µm
lsu.load_fifo.queue\[9\]\[27\],12.14µm
_0946_,12.135µm
_0583_,12.125µm
_0671_,12.125µm
lsu.load_fifo.queue\[2\]\[11\],12.11µm
lsu.load_fifo.queue\[8\]\[7\],12.1µm
_0224_,12.085µm
_0986_,12.085µm
_1090_,12.085µm
lsu.load_fifo.queue\[6\]\[24\],12.085µm
lsu.store_fifo.queue\[10\]\[4\],12.085µm
lsu.store_fifo.queue\[2\]\[3\],12.085µm
_1322_,12.08µm
_1571_,12.08µm
net506,12.06µm
_0535_,12.055µm
_0128_,12.05µm
count[0],12.04µm
load_base_addr[4],12.04µm
net809,12.04µm
_1323_,12.02µm
net96,12.02µm
lsu.load_fifo.queue\[0\]\[6\],12µm
lsu.load_fifo.queue\[11\]\[22\],12µm
lsu.load_fifo.queue\[1\]\[31\],12µm
net152,12µm
_0325_,11.985µm
_0455_,11.985µm
_0609_,11.985µm
_1220_,11.985µm
_1947_,11.98µm
lsu.store_fifo.queue\[6\]\[1\],11.965µm
_1784_,11.96µm
lsu.load_fifo.queue\[0\]\[30\],11.96µm
lsu.load_fifo.queue\[13\]\[29\],11.96µm
lsu.load_fifo.queue\[1\]\[13\],11.96µm
lsu.load_fifo.queue\[8\]\[6\],11.96µm
lsu.store_fifo.queue\[13\]\[3\],11.96µm
lsu.store_fifo.queue\[13\]\[9\],11.96µm
lsu.store_fifo.queue\[7\]\[5\],11.96µm
net123,11.96µm
_1943_,11.94µm
load_addr[17],11.94µm
_0122_,11.93µm
_1910_,11.92µm
lsu.load_fifo.queue\[5\]\[13\],11.92µm
lsu.load_fifo.queue\[12\]\[1\],11.9µm
lsu.store_fifo.queue\[10\]\[2\],11.885µm
_1693_,11.88µm
lsu.store_fifo.queue\[10\]\[1\],11.88µm
_0931_,11.865µm
lsu.load_fifo.queue\[6\]\[19\],11.865µm
_0644_,11.855µm
_1762_,11.84µm
lsu.load_fifo.queue\[4\]\[2\],11.84µm
lsu.load_fifo.queue\[15\]\[30\],11.83µm
_0253_,11.825µm
_1257_,11.82µm
lsu.load_fifo.queue\[2\]\[0\],11.805µm
lsu.load_fifo.queue\[6\]\[6\],11.805µm
_1485_,11.78µm
lsu.load_fifo.queue\[14\]\[8\],11.77µm
store_addr[14],11.75µm
_0233_,11.745µm
_0123_,11.74µm
lsu.load_fifo.queue\[9\]\[3\],11.74µm
net107,11.74µm
_0506_,11.715µm
store_data[8],11.71µm
_0273_,11.705µm
lsu.load_fifo.queue\[15\]\[16\],11.7µm
net873,11.7µm
_1219_,11.68µm
_0235_,11.665µm
_1092_,11.665µm
lsu.store_fifo.queue\[6\]\[9\],11.665µm
_1330_,11.66µm
net144,11.66µm
_1123_,11.64µm
_1611_,11.64µm
lsu.load_fifo.queue\[7\]\[25\],11.64µm
_0221_,11.625µm
_0528_,11.625µm
_1148_,11.62µm
_1596_,11.62µm
lsu.store_fifo.w_ptr\[1\],11.62µm
net839,11.62µm
_0394_,11.585µm
count[16],11.58µm
load_base_addr[1],11.58µm
load_data[8],11.58µm
net1005,11.58µm
_1124_,11.56µm
lsu.load_fifo.queue\[11\]\[2\],11.56µm
net90,11.56µm
lsu.load_fifo.queue\[0\]\[8\],11.54µm
lsu.load_fifo.queue\[11\]\[25\],11.54µm
lsu.store_fifo.queue\[11\]\[0\],11.54µm
lsu.store_fifo.queue\[15\]\[4\],11.54µm
lsu.store_fifo.queue\[7\]\[3\],11.54µm
_1374_,11.5µm
_1704_,11.5µm
lsu.load_fifo.queue\[8\]\[5\],11.5µm
net1104,11.5µm
load_addr[13],11.48µm
lsu.load_fifo.queue\[11\]\[11\],11.47µm
_0733_,11.46µm
_1277_,11.46µm
lsu.load_fifo.queue\[8\]\[10\],11.46µm
net655,11.44µm
net781,11.44µm
net991,11.44µm
_1580_,11.43µm
lsu.load_fifo.queue\[0\]\[20\],11.42µm
lsu.load_fifo.queue\[15\]\[13\],11.42µm
lsu.store_fifo.queue\[13\]\[6\],11.42µm
lsu.load_fifo.queue\[9\]\[24\],11.38µm
lsu.store_fifo.queue\[10\]\[8\],11.365µm
_0822_,11.36µm
_1367_,11.36µm
_1850_,11.36µm
lsu.store_fifo.r_ptr\[3\],11.36µm
net729,11.36µm
_1187_,11.32µm
_1437_,11.32µm
_1649_,11.32µm
lsu.load_fifo.queue\[12\]\[17\],11.3µm
_1146_,11.295µm
_1044_,11.285µm
_1001_,11.28µm
_1157_,11.28µm
_1490_,11.28µm
lsu.load_fifo.queue\[4\]\[19\],11.28µm
lsu.store_fifo.queue\[2\]\[4\],11.27µm
lsu.store_fifo.queue\[2\]\[9\],11.265µm
_1868_,11.26µm
_0453_,11.245µm
_1334_,11.24µm
lsu.store_fifo.queue\[8\]\[5\],11.24µm
net642,11.24µm
net817,11.24µm
net1058,11.24µm
lsu.load_fifo.queue\[0\]\[18\],11.22µm
_0177_,11.205µm
_0258_,11.205µm
_0270_,11.205µm
_0523_,11.205µm
_0630_,11.205µm
lsu.load_fifo.queue\[6\]\[30\],11.205µm
_1690_,11.2µm
_1707_,11.2µm
store_base_addr[18],11.19µm
lsu.load_fifo.queue\[2\]\[6\],11.185µm
_0316_,11.165µm
_0595_,11.165µm
lsu.load_fifo.queue\[10\]\[16\],11.165µm
lsu.load_fifo.queue\[10\]\[8\],11.165µm
_1509_,11.16µm
lsu.load_fifo.queue\[7\]\[23\],11.16µm
_0236_,11.14µm
_1506_,11.12µm
load_base_addr[13],11.12µm
load_base_addr[19],11.12µm
load_base_addr[9],11.12µm
load_data[16],11.12µm
lsu.load_fifo.queue\[4\]\[10\],11.12µm
store_base_addr[0],11.12µm
net548,11.12µm
net1001,11.12µm
_1780_,11.1µm
_1046_,11.085µm
_1758_,11.08µm
lsu.load_fifo.queue\[0\]\[4\],11.08µm
lsu.load_fifo.queue\[11\]\[13\],11.08µm
lsu.load_fifo.queue\[13\]\[2\],11.08µm
lsu.load_fifo.queue\[1\]\[14\],11.08µm
lsu.load_fifo.queue\[3\]\[11\],11.08µm
lsu.load_fifo.queue\[5\]\[14\],11.08µm
net527,11.08µm
_0310_,11.065µm
_1099_,11.04µm
lsu.load_fifo.queue\[13\]\[5\],11.04µm
lsu.load_fifo.queue\[3\]\[13\],11.04µm
lsu.load_fifo.queue\[9\]\[7\],11.04µm
lsu.store_fifo.queue\[4\]\[1\],11.04µm
_0276_,11.02µm
_1791_,11.02µm
load_addr[11],11.02µm
net631,11.02µm
_0668_,11.005µm
lsu.load_fifo.queue\[10\]\[14\],11.005µm
net785,11µm
_0250_,10.985µm
lsu.load_fifo.queue\[10\]\[17\],10.98µm
net975,10.98µm
net1193,10.98µm
lsu.load_fifo.queue\[1\]\[18\],10.96µm
lsu.load_fifo.queue\[3\]\[26\],10.96µm
lsu.load_fifo.queue\[9\]\[22\],10.96µm
lsu.load_fifo.queue\[9\]\[5\],10.96µm
lsu.store_fifo.queue\[15\]\[2\],10.955µm
lsu.load_fifo.queue\[2\]\[7\],10.95µm
_0290_,10.945µm
_0436_,10.945µm
_0568_,10.945µm
_0690_,10.945µm
_0704_,10.945µm
_1048_,10.945µm
_1540_,10.93µm
_0287_,10.925µm
lsu.load_fifo.queue\[5\]\[23\],10.92µm
lsu.load_fifo.queue\[5\]\[28\],10.92µm
lsu.store_fifo.queue\[15\]\[7\],10.92µm
lsu.store_fifo.queue\[1\]\[5\],10.92µm
_0418_,10.915µm
_1742_,10.9µm
_0983_,10.875µm
_0380_,10.865µm
_1203_,10.86µm
_1307_,10.86µm
_1412_,10.86µm
_1628_,10.86µm
lsu.load_fifo.queue\[0\]\[31\],10.86µm
lsu.load_fifo.queue\[8\]\[16\],10.86µm
store_base_addr[20],10.85µm
_1613_,10.84µm
_1905_,10.84µm
lsu.load_fifo.queue\[7\]\[30\],10.84µm
_0129_,10.83µm
_0345_,10.825µm
_1137_,10.82µm
_1264_,10.82µm
_1556_,10.82µm
lsu.store_fifo.queue\[8\]\[3\],10.82µm
net151,10.82µm
net532,10.82µm
lsu.load_fifo.queue\[5\]\[17\],10.8µm
net1003,10.8µm
_0183_,10.785µm
lsu.load_fifo.queue\[2\]\[10\],10.785µm
_1327_,10.78µm
_1955_,10.78µm
net141,10.78µm
net858,10.78µm
net1168,10.78µm
_1234_,10.76µm
_1845_,10.76µm
lsu.store_fifo.queue\[11\]\[5\],10.76µm
lsu.store_fifo.queue\[7\]\[6\],10.76µm
_0205_,10.745µm
_0585_,10.745µm
_1238_,10.74µm
lsu.store_fifo.queue\[12\]\[6\],10.74µm
net1219,10.74µm
_1098_,10.72µm
_1128_,10.715µm
_1802_,10.71µm
_0655_,10.705µm
_0978_,10.705µm
net1143,10.7µm
_0071_,10.66µm
_0747_,10.66µm
count[10],10.66µm
count[17],10.66µm
load_base_addr[12],10.66µm
load_base_addr[15],10.66µm
load_base_addr[20],10.66µm
load_base_addr[3],10.66µm
load_base_addr[5],10.66µm
load_base_addr[8],10.66µm
load_complete,10.66µm
load_data[0],10.66µm
load_data[24],10.66µm
load_data[29],10.66µm
lsu.load_fifo.queue\[3\]\[19\],10.66µm
net546,10.66µm
net1269,10.66µm
net61,10.64µm
_0751_,10.62µm
lsu.load_fifo.queue\[13\]\[19\],10.62µm
lsu.load_fifo.queue\[13\]\[20\],10.62µm
lsu.load_fifo.queue\[8\]\[29\],10.62µm
net804,10.62µm
lsu.store_fifo.queue\[14\]\[1\],10.615µm
_0961_,10.605µm
_0616_,10.585µm
_0997_,10.58µm
_1101_,10.58µm
lsu.load_fifo.queue\[12\]\[19\],10.58µm
lsu.load_fifo.queue\[1\]\[7\],10.58µm
lsu.load_fifo.queue\[9\]\[19\],10.58µm
lsu.load_fifo.queue\[9\]\[29\],10.58µm
lsu.load_fifo.queue\[15\]\[22\],10.57µm
store_data[9],10.57µm
_0382_,10.565µm
_0462_,10.565µm
_0464_,10.565µm
_0893_,10.56µm
_1708_,10.56µm
_1963_,10.56µm
load_addr[14],10.56µm
load_addr[8],10.56µm
net619,10.56µm
net914,10.56µm
_0586_,10.555µm
_0103_,10.55µm
net145,10.54µm
_0530_,10.535µm
_0178_,10.525µm
_0296_,10.525µm
lsu.load_fifo.queue\[1\]\[25\],10.52µm
_1072_,10.505µm
_1209_,10.5µm
_1604_,10.5µm
lsu.load_fifo.queue\[13\]\[13\],10.5µm
net967,10.5µm
_0593_,10.485µm
_0279_,10.445µm
_0641_,10.445µm
_1401_,10.42µm
_0446_,10.415µm
lsu.load_fifo.queue\[2\]\[28\],10.41µm
_0298_,10.405µm
_0788_,10.4µm
_1660_,10.4µm
lsu.load_fifo.queue\[0\]\[5\],10.4µm
lsu.store_fifo.queue\[12\]\[2\],10.4µm
lsu.store_fifo.queue\[13\]\[4\],10.4µm
net1251,10.4µm
lsu.load_fifo.queue\[2\]\[25\],10.39µm
lsu.load_fifo.queue\[9\]\[25\],10.38µm
lsu.store_fifo.queue\[7\]\[8\],10.38µm
_1991_,10.36µm
lsu.load_fifo.queue\[0\]\[12\],10.36µm
lsu.load_fifo.queue\[11\]\[6\],10.36µm
lsu.store_fifo.queue\[15\]\[5\],10.36µm
net121,10.36µm
_0019_,10.32µm
_1890_,10.32µm
lsu.load_fifo.queue\[12\]\[3\],10.32µm
net149,10.32µm
net1128,10.32µm
net1179,10.32µm
_0196_,10.305µm
_1211_,10.3µm
store_addr[11],10.29µm
store_addr[17],10.29µm
store_addr[7],10.29µm
_0984_,10.285µm
_1095_,10.285µm
_1801_,10.28µm
_1985_,10.28µm
_1159_,10.26µm
lsu.load_fifo.queue\[3\]\[24\],10.26µm
lsu.load_fifo.queue\[4\]\[6\],10.26µm
_1019_,10.24µm
lsu.load_fifo.queue\[1\]\[24\],10.24µm
net735,10.22µm
net926,10.22µm
_1893_,10.2µm
count[12],10.2µm
count[9],10.2µm
load_data[21],10.2µm
lsu.load_fifo.queue\[0\]\[0\],10.2µm
lsu.load_fifo.queue\[8\]\[18\],10.2µm
lsu.store_fifo.queue\[11\]\[7\],10.2µm
lsu.store_fifo.queue\[3\]\[2\],10.2µm
start,10.2µm
net26,10.2µm
net127,10.2µm
net929,10.2µm
net1085,10.2µm
net1127,10.2µm
_1443_,10.18µm
net1270,10.18µm
_0973_,10.165µm
lsu.load_fifo.queue\[7\]\[0\],10.16µm
lsu.load_fifo.queue\[9\]\[30\],10.16µm
net505,10.16µm
_0824_,10.145µm
net590,10.14µm
net940,10.14µm
net1102,10.14µm
_1266_,10.105µm
_1096_,10.1µm
_1290_,10.1µm
net94,10.1µm
net962,10.1µm
net1108,10.1µm
net1174,10.1µm
_1326_,10.085µm
lsu.store_fifo.queue\[12\]\[7\],10.08µm
net1267,10.08µm
_0579_,10.065µm
_0945_,10.065µm
_1358_,10.04µm
_1806_,10.04µm
_0407_,10.025µm
net756,10.02µm
net860,10.02µm
_1364_,10µm
_0135_,9.98µm
_1332_,9.98µm
_1371_,9.98µm
_0198_,9.94µm
_1799_,9.94µm
lsu.load_fifo.queue\[5\]\[11\],9.94µm
lsu.load_fifo.queue\[8\]\[20\],9.94µm
lsu.load_fifo.queue\[6\]\[22\],9.93µm
_0469_,9.92µm
_0880_,9.92µm
lsu.load_fifo.queue\[1\]\[11\],9.92µm
lsu.store_fifo.queue\[9\]\[8\],9.92µm
lsu.store_fifo.queue\[14\]\[3\],9.905µm
_1599_,9.9µm
lsu.load_fifo.queue\[3\]\[14\],9.9µm
lsu.load_fifo.queue\[4\]\[11\],9.9µm
lsu.store_fifo.queue\[1\]\[4\],9.9µm
lsu.store_fifo.queue\[3\]\[8\],9.9µm
lsu.store_fifo.queue\[9\]\[9\],9.9µm
net75,9.9µm
_0172_,9.89µm
_1004_,9.88µm
_1304_,9.86µm
_1937_,9.86µm
net1205,9.86µm
_1897_,9.84µm
_0332_,9.825µm
_0452_,9.825µm
_0700_,9.825µm
_0037_,9.82µm
_1433_,9.82µm
_1703_,9.82µm
_1886_,9.82µm
lsu.load_fifo.queue\[9\]\[10\],9.82µm
_1588_,9.8µm
_1797_,9.8µm
lsu.load_fifo.queue\[10\]\[0\],9.785µm
_1945_,9.78µm
net659,9.78µm
net841,9.78µm
net1184,9.76µm
_1283_,9.75µm
_0759_,9.745µm
count[13],9.74µm
count[14],9.74µm
count[15],9.74µm
count[2],9.74µm
load_base_addr[0],9.74µm
load_base_addr[16],9.74µm
load_base_addr[6],9.74µm
load_base_addr[7],9.74µm
lsu.load_fifo.queue\[0\]\[14\],9.74µm
lsu.load_fifo.queue\[13\]\[17\],9.74µm
_1755_,9.72µm
_1883_,9.72µm
net1304,9.72µm
_0321_,9.705µm
_0348_,9.705µm
_0387_,9.705µm
_0600_,9.705µm
_0962_,9.705µm
lsu.load_fifo.queue\[14\]\[11\],9.705µm
_1417_,9.7µm
lsu.load_fifo.queue\[1\]\[20\],9.7µm
lsu.load_fifo.queue\[4\]\[3\],9.7µm
lsu.store_fifo.queue\[0\]\[5\],9.7µm
_0642_,9.685µm
_1386_,9.68µm
net951,9.68µm
net1109,9.68µm
_1876_,9.66µm
_2009_,9.66µm
lsu.load_fifo.queue\[0\]\[29\],9.66µm
lsu.load_fifo.queue\[3\]\[23\],9.66µm
lsu.store_fifo.queue\[5\]\[6\],9.66µm
net557,9.66µm
net837,9.66µm
load_addr[16],9.64µm
load_addr[18],9.64µm
load_addr[3],9.64µm
load_addr[4],9.64µm
load_data[1],9.64µm
load_data[23],9.64µm
load_data[25],9.64µm
load_data[27],9.64µm
load_data[31],9.64µm
load_data[9],9.64µm
net850,9.64µm
net1180,9.64µm
_1088_,9.635µm
_1314_,9.63µm
_1800_,9.62µm
_1992_,9.62µm
lsu.load_fifo.queue\[5\]\[21\],9.62µm
net688,9.62µm
store_addr[0],9.61µm
_0374_,9.605µm
_0502_,9.605µm
_0820_,9.605µm
_0940_,9.605µm
_0964_,9.605µm
_0980_,9.605µm
_0067_,9.6µm
_0046_,9.59µm
_1767_,9.58µm
_0869_,9.565µm
_1899_,9.565µm
net820,9.56µm
net865,9.56µm
_0836_,9.54µm
_0951_,9.525µm
_1860_,9.52µm
_1602_,9.5µm
_1627_,9.5µm
_1520_,9.48µm
_1615_,9.48µm
_1643_,9.48µm
_1685_,9.48µm
lsu.load_fifo.queue\[7\]\[27\],9.48µm
lsu.load_fifo.queue\[9\]\[6\],9.48µm
lsu.store_fifo.queue\[1\]\[0\],9.48µm
net105,9.48µm
_0328_,9.475µm
lsu.load_fifo.queue\[10\]\[30\],9.47µm
_0613_,9.445µm
_1156_,9.44µm
_1288_,9.44µm
_1694_,9.44µm
lsu.store_fifo.queue\[5\]\[3\],9.44µm
net109,9.44µm
net125,9.44µm
net1272,9.44µm
lsu.load_fifo.queue\[6\]\[7\],9.43µm
_0610_,9.405µm
net898,9.405µm
_1120_,9.4µm
count[18],9.4µm
net1312,9.4µm
_0350_,9.365µm
_0389_,9.365µm
_0396_,9.365µm
_0538_,9.365µm
_0963_,9.365µm
lsu.load_fifo.queue\[6\]\[14\],9.365µm
_1827_,9.36µm
lsu.load_fifo.queue\[9\]\[11\],9.36µm
net1268,9.36µm
_1965_,9.34µm
lsu.load_fifo.queue\[11\]\[7\],9.34µm
net1,9.34µm
store_base_addr[13],9.33µm
_1782_,9.32µm
_1878_,9.32µm
net134,9.32µm
_0317_,9.3µm
_0247_,9.295µm
_0257_,9.285µm
_0495_,9.285µm
_1646_,9.28µm
_0283_,9.26µm
_0352_,9.26µm
_1397_,9.26µm
_1552_,9.26µm
_0406_,9.245µm
_0445_,9.24µm
acc.byte2\[4\],9.24µm
lsu.load_fifo.queue\[4\]\[24\],9.24µm
lsu.load_fifo.queue\[8\]\[0\],9.24µm
_0360_,9.22µm
net571,9.22µm
net595,9.22µm
net1093,9.22µm
net1190,9.22µm
_1080_,9.2µm
_1390_,9.2µm
net956,9.2µm
_0240_,9.185µm
_0264_,9.185µm
_0519_,9.185µm
_0542_,9.185µm
load_addr[0],9.18µm
load_addr[10],9.18µm
load_addr[12],9.18µm
load_addr[19],9.18µm
load_addr[6],9.18µm
load_addr[7],9.18µm
load_data[17],9.18µm
load_req,9.18µm
_0719_,9.175µm
_1903_,9.16µm
_1935_,9.16µm
lsu.load_fifo.queue\[12\]\[8\],9.16µm
net1277,9.16µm
_0199_,9.145µm
net1297,9.14µm
_0333_,9.125µm
_1813_,9.12µm
_1790_,9.1µm
_0184_,9.085µm
_1970_,9.08µm
net1125,9.08µm
_0001_,9.06µm
_1500_,9.06µm
lsu.load_fifo.queue\[2\]\[3\],9.05µm
_0832_,9.04µm
lsu.load_fifo.queue\[5\]\[22\],9.04µm
_0886_,9.02µm
_1136_,9.02µm
_1974_,9.02µm
acc.byte1\[3\],9.02µm
lsu.load_fifo.queue\[0\]\[27\],9.02µm
net1248,9.02µm
_0186_,9.005µm
_1531_,9µm
_1403_,8.98µm
_1882_,8.98µm
_1917_,8.98µm
acc.done,8.98µm
lsu.load_fifo.queue\[0\]\[26\],8.98µm
lsu.load_fifo.queue\[8\]\[4\],8.98µm
lsu.store_fifo.queue\[13\]\[2\],8.98µm
net1281,8.98µm
_0181_,8.955µm
_0266_,8.945µm
net780,8.94µm
store_addr[1],8.93µm
_0203_,8.905µm
_0306_,8.905µm
_0330_,8.905µm
_1200_,8.9µm
net982,8.9µm
net1303,8.9µm
_0064_,8.89µm
_1064_,8.88µm
_1478_,8.86µm
net544,8.86µm
net1062,8.86µm
_0985_,8.855µm
_0033_,8.85µm
_0238_,8.845µm
_1550_,8.83µm
_0614_,8.825µm
_0739_,8.82µm
lsu.load_fifo.queue\[0\]\[17\],8.82µm
lsu.store_fifo.queue\[8\]\[1\],8.82µm
_0251_,8.815µm
lsu.store_fifo.queue\[4\]\[0\],8.8µm
net64,8.8µm
net826,8.8µm
_0355_,8.785µm
_0604_,8.785µm
_1113_,8.78µm
lsu.load_fifo.queue\[13\]\[11\],8.78µm
lsu.load_fifo.queue\[5\]\[24\],8.78µm
lsu.load_fifo.queue\[9\]\[1\],8.78µm
lsu.store_fifo.queue\[11\]\[1\],8.78µm
lsu.store_fifo.queue\[3\]\[4\],8.78µm
_0347_,8.76µm
_0470_,8.76µm
_1309_,8.76µm
_1656_,8.76µm
_1848_,8.76µm
net859,8.76µm
net1010,8.76µm
_0602_,8.745µm
lsu.load_fifo.queue\[3\]\[21\],8.74µm
lsu.store_fifo.queue\[1\]\[9\],8.74µm
lsu.store_fifo.queue\[4\]\[5\],8.74µm
_0645_,8.725µm
_1241_,8.72µm
load_addr[5],8.72µm
load_data[11],8.72µm
load_data[20],8.72µm
load_data[22],8.72µm
net450,8.72µm
net451,8.72µm
net452,8.72µm
net454,8.72µm
net458,8.72µm
net459,8.72µm
net467,8.72µm
net526,8.72µm
net1050,8.72µm
net1140,8.72µm
_0357_,8.685µm
_0722_,8.685µm
_0838_,8.685µm
_0974_,8.685µm
_0807_,8.68µm
_2001_,8.68µm
net806,8.68µm
_0153_,8.67µm
_0195_,8.665µm
_0509_,8.665µm
_0565_,8.665µm
_0979_,8.665µm
_1368_,8.66µm
lsu.load_fifo.queue\[8\]\[28\],8.66µm
net1037,8.66µm
_0175_,8.65µm
_1077_,8.64µm
_0919_,8.62µm
_0105_,8.6µm
_0413_,8.585µm
_0441_,8.585µm
_1045_,8.585µm
_0078_,8.57µm
_0110_,8.57µm
_0292_,8.565µm
_0459_,8.565µm
lsu.load_fifo.queue\[4\]\[9\],8.56µm
net56,8.56µm
net65,8.56µm
net104,8.56µm
net112,8.56µm
_0018_,8.55µm
_1636_,8.54µm
_1027_,8.52µm
_1302_,8.52µm
net66,8.52µm
net1311,8.52µm
_0114_,8.5µm
_0587_,8.5µm
_2006_,8.5µm
_0397_,8.485µm
_0581_,8.485µm
_0718_,8.485µm
_0936_,8.485µm
_0942_,8.485µm
_1057_,8.485µm
_1061_,8.485µm
_1698_,8.48µm
_1781_,8.48µm
_1870_,8.48µm
net994,8.48µm
_0039_,8.47µm
_1655_,8.46µm
lsu.acc_state\[0\],8.46µm
net1073,8.46µm
_0365_,8.445µm
_0460_,8.445µm
_1715_,8.44µm
net834,8.44µm
net948,8.44µm
_0126_,8.43µm
_2007_,8.4µm
lsu.load_fifo.r_ptr\[0\],8.4µm
net989,8.4µm
net1095,8.4µm
_0320_,8.385µm
net692,8.38µm
net1061,8.38µm
load_data[6],8.37µm
store_data[6],8.37µm
_0481_,8.365µm
_0969_,8.365µm
_0044_,8.36µm
_1315_,8.36µm
_1465_,8.36µm
lsu.load_fifo.queue\[5\]\[12\],8.36µm
lsu.store_fifo.queue\[8\]\[4\],8.36µm
net543,8.36µm
_0415_,8.345µm
_0589_,8.34µm
_1280_,8.34µm
lsu.load_fifo.queue\[0\]\[28\],8.32µm
lsu.load_fifo.queue\[11\]\[18\],8.32µm
lsu.load_fifo.queue\[11\]\[19\],8.32µm
lsu.load_fifo.queue\[15\]\[23\],8.32µm
lsu.load_fifo.queue\[7\]\[26\],8.32µm
lsu.store_fifo.queue\[5\]\[2\],8.32µm
net1094,8.32µm
_1817_,8.31µm
_0339_,8.3µm
net501,8.3µm
_0714_,8.28µm
net1208,8.28µm
net1283,8.28µm
_0631_,8.275µm
_1070_,8.275µm
_0621_,8.265µm
_0755_,8.265µm
store_addr[15],8.25µm
net474,8.24µm
net922,8.24µm
_0207_,8.225µm
_0217_,8.225µm
_0223_,8.225µm
_0228_,8.225µm
_0297_,8.225µm
_0449_,8.225µm
_0468_,8.225µm
_0527_,8.225µm
_0601_,8.225µm
_0720_,8.225µm
_0815_,8.225µm
lsu.store_fifo.queue\[14\]\[0\],8.225µm
_1608_,8.22µm
net1200,8.22µm
_1678_,8.2µm
acc.byte0\[5\],8.2µm
lsu.load_fifo.queue\[0\]\[7\],8.2µm
_0140_,8.19µm
_0796_,8.16µm
_0802_,8.16µm
_0882_,8.16µm
_0492_,8.145µm
_1204_,8.145µm
_0898_,8.14µm
_1311_,8.14µm
_1475_,8.14µm
net1118,8.14µm
lsu.load_fifo.queue\[10\]\[12\],8.13µm
_1224_,8.125µm
_1225_,8.125µm
_1117_,8.12µm
_1737_,8.12µm
_0272_,8.115µm
_0982_,8.115µm
_1875_,8.1µm
acc.byte0\[6\],8.1µm
lsu.load_fifo.queue\[4\]\[14\],8.1µm
lsu.load_fifo.queue\[5\]\[9\],8.1µm
net829,8.1µm
_0281_,8.065µm
_0313_,8.065µm
_1067_,8.065µm
_1230_,8.06µm
_1904_,8.06µm
lsu.load_fifo.queue\[8\]\[31\],8.06µm
net142,8.06µm
_1885_,8.04µm
_0229_,8.025µm
_1087_,8.025µm
_1989_,8.02µm
lsu.load_fifo.queue\[4\]\[0\],8.02µm
net130,8.02µm
net158,8.02µm
net844,8.02µm
_0482_,8.005µm
_1212_,8µm
_0635_,7.985µm
_0954_,7.985µm
_1068_,7.985µm
lsu.store_fifo.queue\[2\]\[2\],7.985µm
_1428_,7.98µm
_1795_,7.98µm
net106,7.98µm
net157,7.98µm
net530,7.98µm
net701,7.98µm
net764,7.98µm
net957,7.98µm
net1246,7.98µm
_0179_,7.96µm
_1312_,7.94µm
_1503_,7.94µm
_1865_,7.94µm
net594,7.94µm
net657,7.94µm
_0234_,7.92µm
net678,7.92µm
net797,7.92µm
net475,7.9µm
net48,7.88µm
net52,7.88µm
net582,7.88µm
_1389_,7.87µm
_1054_,7.865µm
_1119_,7.86µm
_1442_,7.86µm
_1816_,7.86µm
lsu.load_fifo.queue\[0\]\[11\],7.86µm
lsu.load_fifo.queue\[0\]\[25\],7.86µm
lsu.load_fifo.queue\[13\]\[14\],7.86µm
lsu.load_fifo.queue\[7\]\[15\],7.86µm
lsu.load_fifo.queue\[7\]\[5\],7.86µm
net535,7.86µm
net525,7.84µm
net601,7.84µm
net915,7.84µm
net1086,7.84µm
_0478_,7.815µm
_0929_,7.815µm
_0248_,7.805µm
_0383_,7.805µm
_0559_,7.805µm
_0681_,7.805µm
net528,7.8µm
_1182_,7.79µm
lsu.load_fifo.queue\[15\]\[28\],7.78µm
net1041,7.78µm
_0194_,7.765µm
_0335_,7.765µm
_0349_,7.765µm
_0424_,7.765µm
_0558_,7.765µm
_0957_,7.765µm
_1089_,7.765µm
_1900_,7.76µm
lsu.load_fifo.queue\[12\]\[14\],7.76µm
net1264,7.76µm
net1299,7.76µm
acc.byte2\[3\],7.74µm
lsu.load_fifo.queue\[12\]\[25\],7.74µm
lsu.store_fifo.queue\[5\]\[0\],7.74µm
_0154_,7.73µm
_0643_,7.725µm
