Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_42,VGND,li1,27.6000,288.3200,0.000187
FILLER_101_30,VGND,li1,22.0800,288.3200,0.000156
FILLER_101_18,VGND,li1,16.5600,288.3200,0.000156
FILLER_101_6,VGND,li1,11.0400,288.3200,0.000156
FILLER_100_609,VGND,li1,286.1200,282.8800,0.000827
FILLER_100_601,VGND,li1,283.8200,282.8800,0.000821
FILLER_100_589,VGND,li1,279.2200,282.8800,0.000808
FILLER_100_576,VGND,li1,273.2400,282.8800,0.000792
FILLER_100_541,VGND,li1,255.0700,282.8800,0.000740
FILLER_100_533,VGND,li1,252.5400,282.8800,0.000731
FILLER_100_514,VGND,li1,242.1900,282.8800,0.000691
FILLER_100_477,VGND,li1,225.1700,282.8800,0.000608
FILLER_100_475,VGND,li1,224.2500,282.8800,0.000608
FILLER_100_471,VGND,li1,223.1000,282.8800,0.000596
FILLER_100_464,VGND,li1,219.1900,282.8800,0.000584
FILLER_100_460,VGND,li1,218.0400,282.8800,0.000571
FILLER_100_455,VGND,li1,215.2800,282.8800,0.000560
FILLER_100_450,VGND,li1,212.9800,282.8800,0.000548
FILLER_100_438,VGND,li1,209.7600,282.8800,0.000538
FILLER_100_427,VGND,li1,202.8600,282.8800,0.000503
FILLER_100_419,VGND,li1,198.4900,282.8800,0.000481
FILLER_100_376,VGND,li1,178.9400,282.8800,0.000269
FILLER_100_365,VGND,li1,174.1100,282.8800,0.000325
FILLER_100_363,VGND,li1,172.7300,282.8800,0.000348
FILLER_100_357,VGND,li1,171.1200,282.8800,0.000348
FILLER_100_330,VGND,li1,157.5500,282.8800,0.000491
FILLER_100_317,VGND,li1,151.5700,282.8800,0.000535
FILLER_100_309,VGND,li1,149.5000,282.8800,0.000547
FILLER_100_306,VGND,li1,146.7400,282.8800,0.000563
FILLER_100_298,VGND,li1,144.4400,282.8800,0.000584
FILLER_100_253,VGND,li1,122.1300,282.8800,0.000672
FILLER_100_251,VGND,li1,121.2100,282.8800,0.000672
FILLER_100_243,VGND,li1,119.1400,282.8800,0.000676
FILLER_100_212,VGND,li1,103.5000,282.8800,0.000680
FILLER_100_202,VGND,li1,98.6700,282.8800,0.000670
FILLER_100_194,VGND,li1,95.2200,282.8800,0.000665
FILLER_100_183,VGND,li1,90.6200,282.8800,0.000650
FILLER_100_116,VGND,li1,59.8000,282.8800,0.000438
FILLER_100_109,VGND,li1,56.5800,282.8800,0.000397
FILLER_100_97,VGND,li1,52.9000,282.8800,0.000375
FILLER_100_85,VGND,li1,47.3800,282.8800,0.000320
FILLER_100_83,VGND,li1,43.9300,282.8800,0.000270
FILLER_100_77,VGND,li1,42.3200,282.8800,0.000270
FILLER_100_65,VGND,li1,38.1800,282.8800,0.000229
FILLER_100_53,VGND,li1,32.6600,282.8800,0.000174
FILLER_100_41,VGND,li1,27.1400,282.8800,0.000119
FILLER_100_29,VGND,li1,21.6200,282.8800,0.000099
FILLER_100_26,VGND,li1,17.9400,282.8800,0.000099
FILLER_100_18,VGND,li1,15.6400,282.8800,0.000099
FILLER_100_6,VGND,li1,11.0400,282.8800,0.000099
FILLER_99_607,VGND,li1,284.9700,282.8800,0.000821
FILLER_99_595,VGND,li1,281.9800,282.8800,0.000816
FILLER_99_583,VGND,li1,276.4600,282.8800,0.000800
FILLER_99_559,VGND,li1,262.8900,282.8800,0.000763
FILLER_99_502,VGND,li1,236.9000,282.8800,0.000664
FILLER_99_484,VGND,li1,228.6200,282.8800,0.000629
FILLER_99_444,VGND,li1,210.6800,282.8800,0.000538
FILLER_99_432,VGND,li1,207.0000,282.8800,0.000516
FILLER_99_409,VGND,li1,194.1200,282.8800,0.000451
FILLER_99_399,VGND,li1,189.5200,282.8800,0.000410
FILLER_99_391,VGND,li1,185.6100,282.8800,0.000366
FILLER_99_369,VGND,li1,176.1800,282.8800,0.000291
FILLER_99_357,VGND,li1,172.5000,282.8800,0.000348
